item_name,item_name_en,item_id,item_category_id
1С:Аудио. Музыка восстановления равновесия души и тела [Цифровая версия],1C: Audio. Music restoration balance of soul and body [digital version],110,44
1С:Аудио. Музыка для оздоровления организма (Jewel),1C: Audio. Music for Health Organism (Jewel),111,57
1С:Аудио. Музыка для релаксации и массажа [Цифровая версия],1C: Audio. Music for relaxation and massage [digital version],112,44
1С:Аудио. Музыка для снятия стресса (Jewel),1C: Audio. Music to remove stress (Jewel),113,57
1С:Аудио. Музыка для снятия стресса [Цифровая версия],1C: Audio. Music for removing stress [digital version],114,44
1С:Аудио. Музыка природы (Jewel),1C: Audio. Music Nature (Jewel),115,57
1С:Аудио. Музыка страсти: повышение тонуса (Jewel),1C: Audio. Music Passion: Increase Tonus (Jewel),116,57
1С:Аудио. Музыка страсти: повышение тонуса [Цифровая версия],1C: Audio. Music passion: increase tone [digital version],117,44
"1С:Аудиокниги ""Аленушкины сказки"" [Цифровая версия]","1C: Audiobooks ""Alenushkina Tales"" [Digital Version]",118,44
"1С:Аудиокниги ""Баба-Яга – Золотая нога"" [Цифровая версия]","1C: audiobooks ""Baba Yaga - Golden Leg"" [digital version]",119,44
"1С:Аудиокниги ""Дама с собачкой"" [Цифровая версия]","1C: Audiobooks ""Lady with a dog"" [digital version]",120,44
"1С:Аудиокниги ""Кадетский монастырь"" [Цифровая версия]","1C: Audiobooks ""Cadet Monastery"" [digital version]",121,44
"1С:Аудиокниги ""Любовь"" [Цифровая версия]","1C: Audiobooks ""Love"" [digital version]",122,44
"1С:Аудиокниги ""Севастопольские рассказы"" [Цифровая версия]","1C: Audiobooks ""Sevastopol Stories"" [Digital version]",123,44
"1С:Аудиокниги ""Серая Шейка"" [Цифровая версия]","1C: Audiobooks ""Gray neck"" [digital version]",124,44
"1С:Аудиокниги ""Сказки народов мира"" [Цифровая версия]","1C: Audiobooks ""Tales of Peoples of the World"" [digital version]",125,44
"1С:Аудиокниги ""Сказки. Выпуск 1"" [Цифровая версия]","1C: Audiobooks ""Tales. Issue 1"" [Digital version]",126,44
"1С:Аудиокниги ""Сказки. Выпуск 2"" [Цифровая версия]","1C: audiobooks ""Tales. Issue 2"" [Digital version]",127,44
"1С:Аудиокниги ""Сказки. Выпуск 3"" [Цифровая версия]","1C: audiobooks ""Tales. Issue 3"" [Digital version]",128,44
"1С:Аудиокниги ""Сказки. Выпуск 4"" [Цифровая версия]","1C: audiobooks ""Tales. Issue 4"" [Digital version]",129,44
"1С:Аудиокниги ""Сказки. Выпуск 5"" [Цифровая версия]","1C: Audiobooks ""Tales. Issue 5"" [Digital version]",130,44
"1С:Аудиокниги ""Сказки. Выпуск 6"" [Цифровая версия]","1C: audiobooks ""Fairy Tale. Issue 6"" [Digital version]",131,44
"1С:Аудиокниги. ""Мистические рассказы русских писателей"", А. С. Пушкин, Ф. М. Достоевский [Цифровая в","1C: audiobooks. ""Mystical Stories of Russian Writers"", A. S. Pushkin, F. M. Dostoevsky [Digital",132,44
1С:Аудиокниги. 25 знаменитых сказок,1C: audiobooks. 25 famous fairy tales,133,45
1С:Аудиокниги. Around the World in 80 days (by Jules Verne) (Jewel),1C: audiobooks. Around the World In 80 Days (by Jules Verne) (Jewel),134,45
1С:Аудиокниги. Classical Mosaic. English Stories. Part 1,1C: audiobooks. Classical Mosaic. Stories. Part 1,135,45
1С:Аудиокниги. Happy New English! (Best funny stories) (Digipack),1C: audiobooks. Happy New English! (BEST FUNNY STORIES) (Digipack),136,45
"1С:Аудиокниги. The Golden Age of Detective Fiction. Part 1 [PC, Цифровая версия]","1C: audiobooks. The Golden Age of Detective Fiction. Part 1 [PC, digital version]",137,44
1С:Аудиокниги. А. Некрасов. Приключения капитана Врунгеля (Digipack),1C: audiobooks. A. Nekrasov. Adventures of Captain Lungel (Digipack),138,45
1С:Аудиокниги. А.М. Волков. Волшебник изумрудного города (Digipack),1C: audiobooks. A.M. Wolves. Magician of the Emerald City (Digipack),139,45
1С:Аудиокниги. Аладдин и другие восточные сказки (Jewel),1C: audiobooks. Aladdin and other oriental fairy tales (Jewel),140,45
"1С:Аудиокниги. Аладдин и другие восточные сказки [PC, Цифровая версия]","1C: audiobooks. Aladdin and other oriental fairy tales [PC, digital version]",141,44
1С:Аудиокниги. Алексей Толстой. Приключения Буратино (Digipack),1C: audiobooks. Alexey Tolstoy. Adventures from Buratino (Digipack),142,45
1С:Аудиокниги. Аленький цветочек и другие сказки (Jewel),1C: audiobooks. Scarlet flower and other fairy tales (Jewel),143,45
1С:Аудиокниги. Аленький цветочек и другие сказки [Цифровая версия],1C: audiobooks. Scarlet flower and other fairy tales [digital version],144,44
"1С:Аудиокниги. Али-Баба и сорок разбойников [PC, Цифровая версия]","1C: audiobooks. Ali-Baba and forty robbers [PC, digital version]",145,44
"1С:Аудиокниги. Английские неправильные глаголы. Тренажер   [PC, Цифровая версия]","1C: audiobooks. English irregular verbs. Simulator [PC, digital version]",146,44
"1С:Аудиокниги. Английские пословицы, поговорки и устойчивые выражения. Самоучитель  [PC, Цифровая версия]","1C: audiobooks. English proverbs, sayings and sustainable expressions. Tutorial [PC, digital version]",147,44
"1С:Аудиокниги. Английские сказки, часть 1 [PC, Цифровая версия]","1C: audiobooks. English fairy tales, part 1 [PC, digital version]",148,44
1С:Аудиокниги. Английский для детей. Слушай и изучай (Jewel),1C: audiobooks. English for children. Listen and learn (Jewel),149,45
1С:Аудиокниги. Английский для детей. Слушай и изучай [Цифровая версия],1C: audiobooks. English for children. Listen and learn [digital version],150,44
1С:Аудиокниги. Английский для малышей. Наглядное пособие (Jewel),1C: audiobooks. English for kids. Visual manual (Jewel),151,45
1С:Аудиокниги. Английский для путешественников (Jewel),1C: audiobooks. English for travelers (jewel),152,45
1С:Аудиокниги. Английский за 30 минут (Digipack),1C: audiobooks. English in 30 minutes (Digipack),153,45
1С:Аудиокниги. Английский за рулем. Выпуск 1 (Beginner) (Digipack),1C: audiobooks. English driving. Issue 1 (Beginner) (Digipack),154,45
1С:Аудиокниги. Английский за рулем. Выпуск 2 (Elementary) (Digipack),1C: audiobooks. English driving. Edition 2 (Elementary) (Digipack),155,45
1С:Аудиокниги. Английский за рулем. Выпуск 3 (Pre-Intermediate) (Digipack),1C: audiobooks. English driving. Issue 3 (Pre-Intermediate) (Digipack),156,45
"1С:Аудиокниги. Английский словарный минимум. Тренажер  [PC, Цифровая версия]","1C: audiobooks. English vocabulary minimum. Simulator [PC, digital version]",157,44
"1С:Аудиокниги. Английский язык за 12 дней: Самоучитель для повседневного общения [PC, Цифровая версия]","1C: audiobooks. English for 12 days: Tutorial for everyday communication [PC, digital version]",158,44
"1С:Аудиокниги. Английский язык за 12 дней: Самоучитель. Деловой английский  [PC, Цифровая версия]","1C: audiobooks. English for 12 days: tutorial. Business English [PC, digital version]",159,44
"1С:Аудиокниги. Английский язык за 12 дней: Самоучитель. Отдых за рубежом [PC, Цифровая версия]","1C: audiobooks. English for 12 days: tutorial. Rest abroad [PC, digital version]",160,44
"1С:Аудиокниги. Английский язык. 1700 распространенных фраз и выражений. Тренажер   [PC, Цифровая версия]","1C: audiobooks. English. 1700 common phrases and expressions. Simulator [PC, digital version]",161,44
1С:Аудиокниги. Андерсен Г.Х. Дюймовочка,1C: audiobooks. Andersen G.Kh. Inch,162,45
"1С:Аудиокниги. Андрей Платонов. Челюсть дракона. Рассказы о войне12    [PC, Цифровая версия]","1C: audiobooks. Andrei Platonov. Dragon jaw. Stories about War12 [PC, digital version]",163,44
1С:Аудиокниги. Аркадий Аверченко. Классика русского юмора. [Цифровая версия],1C: audiobooks. Arkady Averchenko. Classic Russian humor. [Digital version],164,44
1С:Аудиокниги. Артур Конан Дойл. Долина страха (Jewel),1C: audiobooks. Arthur Conan Doyle. Fear Valley (Jewel),165,45
1С:Аудиокниги. Артур Конан Дойл. Истории о Шерлоке Холмсе (Jewel),1C: audiobooks. Arthur Conan Doyle. Stories about Sherlock Holmes (Jewel),166,45
"1С:Аудиокниги. Аткинсон У. Сила мысли или магнетизм личности   [PC, Цифровая версия]","1C: audiobooks. Atkinson W. Power of thought or magnetism of personality [PC, digital version]",167,44
"1С:Аудиокниги. Аудиокурсы по географии. 6 класс  [PC, Цифровая версия]","1C: audiobooks. Audiocoupes in geography. Grade 6 [PC, digital version]",168,44
"1С:Аудиокниги. Аудиокурсы по географии. 7 класс   [PC, Цифровая версия]","1C: audiobooks. Audiocoupes in geography. Grade 7 [PC, digital version]",169,44
1С:Аудиокниги. Аудиокурсы. Учимся правильно и грамотно говорить по-русски (Jewel),1C: audiobooks. Audio Course. Learning correctly and competently speak Russian (Jewel),170,45
1С:Аудиокниги. Аудиоэкскурсия. Московский Кремль,1C: audiobooks. AudioExcursion. Moscow Kremlin,171,45
1С:Аудиокниги. Аудиоэкскурсия. Невский проспект,1C: audiobooks. AudioExcursion. Nevsky Prospect,172,45
1С:Аудиокниги. Аудиоэнциклопедия для самых маленьких. Окружающий мир (Digipack),1C: audiobooks. Audioentian for the smallest. Digipack),173,45
"1С:Аудиокниги. Библейские истории Нового Завета. Жизнь Иисуса Христа     [PC, Цифровая версия]","1C: audiobooks. Biblical stories of the New Testament. Life of Jesus Christ [PC, digital version]",174,44
1С:Аудиокниги. Большая поэзия для маленьких детей (сборник) (Jewel),1C: audiobooks. Great poetry for small children (collection) (Jewel),175,45
1С:Аудиокниги. Булгаков М. Собачье сердце,1C: audiobooks. Bulgakov M. Dog's Heart,176,45
1С:Аудиокниги. Булгаков М.А. Мастер и Маргарита,1C: audiobooks. Bulgakov MA The Master and Margarita,177,45
1С:Аудиокниги. Булгаков М.А. Ханский огонь,1C: audiobooks. Bulgakov MA Khan fire,178,45
1С:Аудиокниги. Бунин И. А. Грехи любви,1C: audiobooks. Bunin I. A. Sigges of Love,179,45
"1С:Аудиокниги. Былины русского народа. Сборник  [ PC, Цифровая версия]","1C: audiobooks. The epics of the Russian people. Collection [PC, digital version]",180,44
"1С:Аудиокниги. Вагин И. Гнев, обида, месть и предательство    [PC, Цифровая версия]","1C: audiobooks. Vagin I. Anger, insult, revenge and betrayal [PC, digital version]",181,44
"1С:Аудиокниги. Вагин И. Как развить уверенность в себе и поднять самооценку     [PC, Цифровая версия]","1C: audiobooks. Vagin I. How to develop confidence and raise self-esteem [PC, digital version]",182,44
"1С:Аудиокниги. Вагин И. О. Драйв-менеджмент    [ PC, Цифровая версия]","1C: audiobooks. Vagin I. O. Drive Management [PC, digital version]",183,44
"1С:Аудиокниги. Вагин И. О. Избавление от страха и тревоги  [PC, Цифровая версия]","1C: audiobooks. Vagin I. O. Relief from fear and anxiety [PC, digital version]",184,44
"1С:Аудиокниги. Вагин И. О. Как купить, но не купиться    [PC, Цифровая версия]","1C: audiobooks. Vagin I. O. How to buy, but not to buy [PC, digital version]",185,44
"1С:Аудиокниги. Вагин И. О. Как перестать нервничать   [PC, Цифровая версия]","1C: audiobooks. Vagin I. O. How to stop nervous [PC, digital version]",186,44
"1С:Аудиокниги. Вагин И. О. Как поставить собеседника на место. Методы словестной атаки [PC, Цифровая версия]","1C: audiobooks. Vagin I. O. How to put the interlocutor in place. Digital Attack Methods [PC, Digital Version]",187,44
"1С:Аудиокниги. Вагин И. О. Как создать успешный имидж    [PC, Цифровая версия]","1C: audiobooks. Vagin I. O. How to create a successful image [PC, digital version]",188,44
"1С:Аудиокниги. Вагин И. О. Как сохранить деньги     [PC, Цифровая версия]","1C: audiobooks. Vagin I. O. How to save money [PC, digital version]",189,44
"1С:Аудиокниги. Вагин И. О. Как управлять другими     [PC, Цифровая версия]","1C: audiobooks. Vagin I. O. How to manage others [PC, digital version]",190,44
"1С:Аудиокниги. Вагин И. О. Психологическое карате и психологическое айкидо  [ PC, Цифровая версия]","1C: audiobooks. Vagin I. O. Psychological Karate and Psychological Aikido [PC, digital version]",191,44
"1С:Аудиокниги. Вагин И. О. Психотехники развития уверенности в себе, удачливости, эксклюзивности   [PC, Цифровая версия]","1C: audiobooks. Vagin I. O. Psychotechnics for the development of self-confidence, luck, exclusivity [PC, digital version]",192,44
"1С:Аудиокниги. Вагин И. О. Управление персоналом     [PC, Цифровая версия]","1C: audiobooks. Vagin I. O. Personnel Management [PC, digital version]",193,44
"1С:Аудиокниги. Вагин И. О., Глущай А. Научи себя смеяться    [PC, Цифровая версия]","1C: audiobooks. Vagin I. O., Gulchy A. Tekhiva laugh [PC, digital version]",194,44
"1С:Аудиокниги. Вагин И.О. Управление радостью  [ PC, Цифровая версия]","1C: audiobooks. Vagin I.O. Joy management [PC, digital version]",195,44
"1С:Аудиокниги. Василь Быков. Пойти и не вернуться  [PC, Цифровая версия]","1C: audiobooks. Vasil Bulls. Go and not return [PC, digital version]",196,44
1С:Аудиокниги. Великие бизнесмены или как делались деньги в ХХ веке (Digipack),1C: audiobooks. Great businessmen or how to make money in the twentieth century (Digipack),197,45
1С:Аудиокниги. Верн Ж. 20 000 лье под водой,"1C: audiobooks. Verne J. 20,000 Le",198,45
1С:Аудиокниги. Верн Ж. Дети капитана Гранта,1C: audiobooks. Verne J. Children Captain Grant,199,45
1С:Аудиокниги. Веселые уроки для самых маленьких. Азбука и счет (Jewel),1C: audiobooks. Merry lessons for the smallest. Alphabet and Account (Jewel),200,45
"1С:Аудиокниги. Владимирские А. О. и П. А. Как стать успешной, или Секрет карьеристки    [PC, Цифровая версия]","1C: audiobooks. Vladimir A. O. and P. A. How to become successful, or the secret of the careerists [PC, digital version]",201,44
1С:Аудиокниги. Внеклассное чтение (для средней школы) (Jewel),1C: audiobooks. Extracurricular Reading (for High School) (Jewel),202,45
"1С:Аудиокниги. Всеобщая история, обработанная ""Сатириконом""   [ PC, Цифровая версия]","1C: audiobooks. Universal history treated with ""satyrikon"" [PC, digital version]",203,44
"1С:Аудиокниги. Г.Р. Хаггард. Клеопатра [PC, Цифровая версия]","1C: audiobooks. G.R. Haggard. Cleopatra [PC, digital version]",204,44
1С:Аудиокниги. Г.Х. Андерсен. Русалочка. Музыкальный спектакль (Digipack),1C: audiobooks. GK Andersen. Mermaid. Musical Performance (Digipack),205,45
"1С:Аудиокниги. Гарри Гаррисон. Крыса из нержавеющей стали [ PC, Цифровая версия]","1C: audiobooks. Harry Harrison. Stainless steel rat [PC, digital version]",206,44
1С:Аудиокниги. Гаррос-Евдокимов. Серая слизь,1C: audiobooks. Garros-Evdokimov. Gray mucus,207,45
"1С:Аудиокниги. Генри Хаггард. Дочь Монтесумы [PC, Цифровая версия]","1C: audiobooks. Henry Haggard. Montezuma daughter [PC, digital version]",208,44
1С:Аудиокниги. География России для детей. Познавательные аудиокурсы [Цифровая версия],1C: audiobooks. Russian geography for children. Cognitive audiocoupes [digital version],209,44
"1С:Аудиокниги. Гилберт Э. Есть, молиться, любить (Jewel)","1C: audiobooks. Gilbert E. Any, Pray, Love (Jewel)",210,45
"1С:Аудиокниги. Гиляровский В.А. ""Москва и москвичи"" (вторая часть) [Цифровая версия]","1C: audiobooks. Gilyarovsky V.A. ""Moscow and Muscovites"" (Second part) [digital version]",211,44
"1С:Аудиокниги. Гиляровский В.А. ""Москва и москвичи"" (первая часть) [Цифровая версия]","1C: audiobooks. Gilyarovsky V.A. ""Moscow and Muscovites"" (first part) [digital version]",212,44
1С:Аудиокниги. Гиляровский В.А. Москва и москвичи,1C: audiobooks. Gilyarovsky V.A. Moscow and Muscovites,213,45
"1С:Аудиокниги. Гоголь Н.В. ""Вий"" [Цифровая версия]","1C: audiobooks. Gogol N.V. ""Viy"" [digital version]",214,44
1С:Аудиокниги. Гоголь Н.В. Вий (Digipack),1C: audiobooks. Gogol N.V. Viy (Digipack),215,45
"1С:Аудиокниги. Гоголь Н.В. Женитьба [PC, Цифровая версия]","1C: audiobooks. Gogol N.V. Marriage [PC, digital version]",216,44
1С:Аудиокниги. Гоголь Н.В. Записки сумасшедшего [Цифровая версия],1C: audiobooks. Gogol N.V. Notes of crazy [digital version],217,44
1С:Аудиокниги. Гончаров И.А. Обыкновенная история,1C: audiobooks. Goncharov I.A. Ordinary History,218,45
1С:Аудиокниги. Горький М. На дне,1C: audiobooks. Gorky M. on the bottom,219,45
1С:Аудиокниги. Гранатовый браслет [Цифровая версия],1C: audiobooks. Pomegranate bracelet [digital version],220,44
1С:Аудиокниги. Грин А.С. Алые паруса [Цифровая версия],1C: audiobooks. Green A.S. Scarlet sails [digital version],221,44
1С:Аудиокниги. Грин А.С. Бегущая по волнам [Цифровая версия],1C: audiobooks. Green A.S. Running on the waves [digital version],222,44
1С:Аудиокниги. Грин А.С. Лучшие рассказы [Цифровая версия],1C: audiobooks. Green A.S. The best stories [digital version],223,44
1С:Аудиокниги. Гюго В. Отверженные (Jewel),1C: audiobooks. Hugo V. Rejected (Jewel),224,45
1С:Аудиокниги. Даниель Дефо. Робинзон Крузо. (Jewel),1C: audiobooks. Daniel Defoe. Robinson Crusoe. (Jewel),225,45
